id_entite,nom_canonique,type_organisation,pays,region_france,site_web,alias_identifiants,id_source_exacte,reference_exacte,date_information,organisation_concernee,passage_justificatif,nature_information,niveau_confiance,niveau_confidentialite,droits_reutilisation,statut_validation,doublon_contradiction,notes,perspective_corpus,role_chaine_valeur,categorie_msp_mssp_principale,categories_secondaires,statut_qualification_msp,preuve_statut,couverture_geographique,segments_cibles,secteurs_cibles,modele_livraison,soc_en_propre_declare
ENT-PUB-NOMIOS-005,SIPP’n’CO,Association / groupement,France,Île-de-France,,SIPP'n'CO,SRC-PUB-NOMIOS-003,https://www.nomios.fr/actualite/nomios-sipperec/ | Archive 2025-11-03_Nomios_sippnco.html,46218.25,SIPP’n’CO,"Dans le cadre de cet appel d’offres, Nomios s’est vu attribuer le lot « Sécurité des Systèmes d’information » en tant que co-traitant, confirmant ainsi son positionnement de leader dans l’accompagnement des organismes publics en matière de sécurité numérique. Grâce à cette attribution, Nomios pourra fournir à l’ensemble des adhérents de la centrale d’achat – soit plus de 420 organismes publics d’Île-de-France (collectivités, mairies, CHU/CH, communautés de communes, etc.) – un panel complet de solutions issues de ses partenaires technologiques de référence parmi lesquels Stormshield, Palo Alto Networks, Cisco, Crowdstrike, Check Point Software ou encore Fortinet, ainsi que l’ensemble des services cyber associés : audit, SOC managé, tests d’intrusion, services managés, support logiciel, etc.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-006,Palo Alto Networks,Éditeur cybersécurité,États-Unis,,https://www.paloaltonetworks.com,,SRC-PUB-NOMIOS-002,https://www.nomios.fr/actualite/nomios-canut-soc/ | Archive 2026-01-05_Nomios_canut-soc.html,46218.25,Palo Alto Networks,"L’offre s’appuie sur les technologies de Palo Alto Networks, partenaire technologique historique de Nomios, et notamment sur la suite Cortex (XDR, XSIAM et SOAR), permettant une corrélation avancée des événements de sécurité, une détection des menaces connues et inconnues, ainsi qu’une orchestration automatisée de la réponse aux incidents.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-007,Fortinet,Éditeur cybersécurité,États-Unis,,https://www.fortinet.com,,SRC-PUB-NOMIOS-006,https://www.nomios.fr/actualite/nomios-rapid-cloud-assessment/ | Archive 2025-09-18_Nomios_rapid-cloud-assessment.html,46218.25,Fortinet,"En partenariat avec Fortinet, nous proposons le Rapid Cloud Assessment, une évaluation rapide et complète de votre posture de sécurité dans le cloud, qui vous permet d’obtenir une vision claire et priorisée de vos risques en seulement quelques jours.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-008,Juniper Networks,Éditeur cybersécurité,États-Unis,,https://www.juniper.net,Juniper,SRC-PUB-NOMIOS-008,https://www.nomios.fr/actualite/hpe-juniper-acquisition-complete/ | Archive 2025-07-02_Nomios_hpe-juniper.html,46218.25,Juniper Networks,"Juniper Networks est un partenaire de confiance de Nomios depuis nos débuts en 2004. Au fil des années, notre collaboration a permis de stimuler l’innovation et de fournir des solutions réseau robustes à travers l’Europe (via Infradata). Avec l’acquisition de Juniper Networks par HPE désormais officiellement approuvée, nous sommes impatients de voir ce que cela signifie pour l’avenir. Nomios est un partenaire historique de Juniper, et nous avons récemment renouvelé notre partenariat stratégique avec HPE. Ensemble, nous sommes convaincus que cela ouvrira de nouvelles opportunités pour des réseaux intelligents, sécurisés et pilotés par l’IA.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-009,Hewlett Packard Enterprise,Autre — à préciser,États-Unis,,https://www.hpe.com,HPE,SRC-PUB-NOMIOS-008,https://www.nomios.fr/actualite/hpe-juniper-acquisition-complete/ | Archive 2025-07-02_Nomios_hpe-juniper.html,46218.25,Hewlett Packard Enterprise,"Juniper Networks est un partenaire de confiance de Nomios depuis nos débuts en 2004. Au fil des années, notre collaboration a permis de stimuler l’innovation et de fournir des solutions réseau robustes à travers l’Europe (via Infradata). Avec l’acquisition de Juniper Networks par HPE désormais officiellement approuvée, nous sommes impatients de voir ce que cela signifie pour l’avenir. Nomios est un partenaire historique de Juniper, et nous avons récemment renouvelé notre partenariat stratégique avec HPE. Ensemble, nous sommes convaincus que cela ouvrira de nouvelles opportunités pour des réseaux intelligents, sécurisés et pilotés par l’IA.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-010,CyberArk,Éditeur cybersécurité,États-Unis,,https://www.cyberark.com,,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,46218.25,CyberArk,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-011,SailPoint,Éditeur cybersécurité,États-Unis,,https://www.sailpoint.com,,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,46218.25,SailPoint,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-012,One Identity,Éditeur cybersécurité,États-Unis,,https://www.oneidentity.com,,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,46218.25,One Identity,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-013,Okta,Éditeur cybersécurité,États-Unis,,https://www.okta.com,,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,46218.25,Okta,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-014,Qevlar AI,Éditeur cybersécurité,France,,https://www.qevlar.com,,SRC-PUB-NOMIOS-011,https://www.channelnews.fr/nomios-croissance-de-20-en-2025-tiree-par-les-services-recurrents-156340 | Archive 2026-04-19_ChannelNews_nomios-croissance-2025.html,46218.25,Qevlar AI,"En janvier 2025, le groupe annonçait l’intégration de la plateforme de Qevlar AI dans ses sept centres opérationnels de sécurité managée – ainsi qu’un accord de distribution européen autour de cette solution – afin d’accélérer le travail des analystes sur les tâches les plus critiques.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Source secondaire à corroborer. Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-015,CrowdStrike,Éditeur cybersécurité,États-Unis,,https://www.crowdstrike.com,,SRC-PUB-NOMIOS-003,https://www.nomios.fr/actualite/nomios-sipperec/ | Archive 2025-11-03_Nomios_sippnco.html,46218.25,CrowdStrike,"Dans le cadre de cet appel d’offres, Nomios s’est vu attribuer le lot « Sécurité des Systèmes d’information » en tant que co-traitant, confirmant ainsi son positionnement de leader dans l’accompagnement des organismes publics en matière de sécurité numérique. Grâce à cette attribution, Nomios pourra fournir à l’ensemble des adhérents de la centrale d’achat – soit plus de 420 organismes publics d’Île-de-France (collectivités, mairies, CHU/CH, communautés de communes, etc.) – un panel complet de solutions issues de ses partenaires technologiques de référence parmi lesquels Stormshield, Palo Alto Networks, Cisco, Crowdstrike, Check Point Software ou encore Fortinet, ainsi que l’ensemble des services cyber associés : audit, SOC managé, tests d’intrusion, services managés, support logiciel, etc.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-016,Trend Micro,Éditeur cybersécurité,Japon,,https://www.trendmicro.com,,SRC-PUB-NOMIOS-011,https://www.channelnews.fr/nomios-croissance-de-20-en-2025-tiree-par-les-services-recurrents-156340 | Archive 2026-04-19_ChannelNews_nomios-croissance-2025.html,46218.25,Trend Micro,"Plus récemment, Nomios a également intégré CrowdStrike et Trend Micro à son écosystème.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Source secondaire à corroborer. Entité explicitement nommée dans la source; citation recalée sur l’archive.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-001,"WatchGuard Technologies, Inc.",Éditeur cybersécurité,États-Unis,,https://www.watchguard.com,WatchGuard,SRC-PUB-WATCHGUARD-001,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-open-mdr-offre-aux-msp-un-acces-accelere-des-services-mdr-forte | Archive 2026-01-15_WatchGuard_open-mdr.html,46218.333333333336,"WatchGuard Technologies, Inc.","Paris, le 15 janvier 2026 – WatchGuard® Technologies, leader mondial de la cybersécurité unifiée pour les fournisseurs de services managés (MSP), annonce aujourd’hui le lancement de WatchGuard Open MDR, une évolution stratégique de son offre MDR (Managed Detection and Response). Cette nouvelle approche étend la détection et la réponse managées 24 h/24 et 7 j/7 aux outils de sécurité tiers, en complément des technologies WatchGuard, permettant aux MSP de proposer des services de sécurité de niveau entreprise dans des environnements clients hétérogènes, sans imposer de remplacement de plateformes.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-002,WatchGuard France,Éditeur cybersécurité,France,,https://www.watchguard.com/fr,,SRC-PUB-WATCHGUARD-013,https://www.channelnews.fr/croissance-de-15-pour-watchguard-en-france-154200 | Archive 2026-01-21_ChannelNews_watchguard-france.html,46218.333333333336,WatchGuard France,"Watchguard : WatchGuard France a enregistré une croissance de 15% par rapport à 2024, portée par la demande croissante pour nos solutions Endpoint Security et MDR. L’adoption de MDR a été un facteur clé pour permettre à nos partenaires MSP de sécuriser proactivement leurs clients.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Attribution ou source à corroborer. Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-003,Perimeters.io,Éditeur cybersécurité,,,,Perimeters,SRC-PUB-WATCHGUARD-006,https://www.watchguard.com/wgrd-news/press-releases/watchguard-technologies-acquiert-perimetersio-pour-renforcer-la-securite | Archive 2026-05-06_WatchGuard_perimeters-cloud-dr.html,46218.333333333336,Perimeters.io,"WatchGuard® Technologies, leader mondial de la cybersécurité unifiée pour les MSP annonce l’acquisition de Perimeters.io (Perimeters), un fournisseur de premier plan en sécurité des applications cloud. Les termes de l’accord n’ont pas été divulgués.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-004,Halo,Autre — à préciser,Royaume-Uni,,https://www.halopsa.com,HaloPSA,SRC-PUB-WATCHGUARD-004,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-et-halo-annoncent-un-partenariat-pour-permettre-aux-msp-de | Archive 2026-04-14_WatchGuard_halo.html,46218.333333333336,Halo,"WatchGuard® Technologies, leader mondial de la cybersécurité unifiée pour les fournisseurs de services managés (MSP), annonce un partenariat stratégique avec Halo afin d’aider les MSP à fournir et à gérer des services de sécurité avec une charge opérationnelle réduite et des temps de réponse plus rapides. Dans le cadre de cette collaboration, WatchGuard Cloud s’intègre à Halo afin d’y intégrer directement des opérations de sécurité unifiées.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-005,ActZero,Prestataire de services managés,États-Unis,,https://www.actzero.ai,,SRC-PUB-WATCHGUARD-009,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-launches-total-mdr-deliver-full-stack-ai-driven-security-msps | Archive 2025-06-24_WatchGuard_total-mdr.html,46218.333333333336,ActZero,"Total MDR is a key milestone following WatchGuard’s acquisition of ActZero in January of this year. ActZero’s 24/7 MDR service and experts power the WatchGuard MDR product line, which includes AI-driven security and flexible support tailored to MSPs.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-006,Vector Capital,Investisseur / fonds,États-Unis,,https://www.vectorcapital.com,Vector,SRC-PUB-WATCHGUARD-012,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-nomme-joe-smolarski-au-poste-de-chief-executive-officer-pour | Archive 2025-11-05_WatchGuard_joe-smolarski.html,46218.333333333336,Vector Capital,"PARIS – 5 novembre 2025 – WatchGuard® Technologies, leader mondial de la cybersécurité unifiée et société du portefeuille de Vector Capital (“Vector”), annonce aujourd’hui la nomination de Joe Smolarski au poste de Chief Executive Officer (CEO). Vats Srivatsan, qui occupait la fonction de CEO par intérim depuis mai 2025, continuera de siéger au conseil d’administration de WatchGuard, où il contribuera à la stratégie et à la croissance de l’entreprise.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-007,ConnectWise,Autre — à préciser,États-Unis,,https://www.connectwise.com,ConnectWise Manage,SRC-PUB-WATCHGUARD-011,https://www.watchguard.com/wgrd-news/press-releases/watchguard-technologies-expands-professional-services-automation | Archive 2025-11-04_WatchGuard_psa-unified-agent.html,46218.333333333336,ConnectWise,"Seattle, WA – November 4, 2025: WatchGuard® Technologies, a global leader in unified cybersecurity for managed service, today announced a major expansion of its WatchGuard Cloud PSA (Professional Services Automation), now offering deep, native support for ConnectWise Manage, Autotask PSA, and HaloPSA*. This broad integration – which includes the entire portfolio of Network, Identity, Endpoint, and MDR services ‒ solidifies WatchGuard's continued commitment to empowering MSPs by embedding security management directly into the core systems they rely on to operate and grow their businesses.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-008,Autotask,Autre — à préciser,,,,Autotask PSA,SRC-PUB-WATCHGUARD-011,https://www.watchguard.com/wgrd-news/press-releases/watchguard-technologies-expands-professional-services-automation | Archive 2025-11-04_WatchGuard_psa-unified-agent.html,46218.333333333336,Autotask,"Seattle, WA – November 4, 2025: WatchGuard® Technologies, a global leader in unified cybersecurity for managed service, today announced a major expansion of its WatchGuard Cloud PSA (Professional Services Automation), now offering deep, native support for ConnectWise Manage, Autotask PSA, and HaloPSA*. This broad integration – which includes the entire portfolio of Network, Identity, Endpoint, and MDR services ‒ solidifies WatchGuard's continued commitment to empowering MSPs by embedding security management directly into the core systems they rely on to operate and grow their businesses.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-009,Omdia,Recherche / formation,Royaume-Uni,,https://omdia.tech.informa.com,,SRC-PUB-WATCHGUARD-008,https://www.watchguard.com/wgrd-news/press-releases/watchguard-named-champion-omdia-global-cybersecurity-msp-ecosystems | Archive 2026-06-04_WatchGuard_omdia.html,46218.333333333336,Omdia,"WatchGuard Technologies, the global leader in unified cybersecurity for managed service providers (MSPs), today announced it has been named a Champion in the Omdia Global Cybersecurity MSP Ecosystems Leadership Matrix 2026 for the fourth consecutive year. The Omdia Leadership Matrix, formerly known as the Canalys Cybersecurity Leadership Matrix, evaluates cybersecurity vendors that play a critical role in driving the success of the MSP ecosystem. The 2026 report assessed 24 cybersecurity vendors based on analyst assessment, MSP feedback, and performance metrics, including partner sentiment, channel enablement, and market momentum.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Attribution ou source à corroborer. Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-010,Eiffie,Prestataire de services managés,France,,,,SRC-PUB-WATCHGUARD-009,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-launches-total-mdr-deliver-full-stack-ai-driven-security-msps | Archive 2025-06-24_WatchGuard_total-mdr.html,46218.333333333336,Eiffie,"“WatchGuard Total MDR is not only important for our clients, but it’s imperative as it acts as a customized virtual SOC, providing continuous threat intelligence, strategic guidance, and escalation support, enabling us to proactively defend against adversaries and attacks at an optimized cost.”",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Attribution ou source à corroborer. Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-WATCHGUARD-011,Ember One,Prestataire de services managés,,,,,SRC-PUB-WATCHGUARD-010,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-firecloud-total-access-le-premier-service-sase-hybride-adapte | Archive 2025-09-25_WatchGuard_firecloud-total-access.html,46218.333333333336,Ember One,"« Les entreprises veulent moins d’outils, moins de complexité et de meilleurs résultats », explique Alex Dumas, Principal Engineer chez Ember One, partenaire WatchGuard. « Avec FireCloud Total Access, nous standardisons la protection web et l’accès aux applications privées, démontrons la valeur depuis un portail unique et faisons évoluer nos services récurrents sans alourdir la gestion. »",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-001,Check Point Software Technologies Ltd.,Éditeur cybersécurité,Israël,,https://www.checkpoint.com,Check Point,SRC-PUB-CHECKPOINT-001,https://www.checkpoint.com/press-releases/check-point-advances-secure-ai-transformation-for-msps-with-new-platform-ai-security-capabilities-and-unified-security-bundles/ | Archive 2026-06-10_CheckPoint_msp-platform.html,46218.416666666664,Check Point Software Technologies Ltd.,"Check Point® Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced a major expansion of its Managed Service Provider (MSP) platform. Unveiled at the Pax8 Beyond 2026 flagship conference and rolling out globally to Check Point partners, the new platform is designed to help MSPs secure AI adoption, streamline operations, and simplify managed security delivery.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité mondiale.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-002,Check Point France,Éditeur cybersécurité,France,Île-de-France,https://www.checkpoint.com/fr,,SRC-PUB-CHECKPOINT-010,https://www.channelbiz.fr/2025/04/22/cyber-jerome-bouvet-rejoint-check-point-france-comme-country-manager/ | Archive 2025-04-22_ChannelBiz_checkpoint-country-manager.html,46218.416666666664,Check Point France,"Jérôme Bouvet rejoint Check Point avec une expérience de plus de 20 ans dans la gestion d’équipes commerciales et la conduite de stratégies de croissance dans le secteur technologique. Il a exercé des responsabilités de direction au sein de plusieurs grandes entreprises IT. Dans ses nouvelles fonctions, il aura pour mission d’accélérer le développement de Check Point en France, en renforçant les relations avec les partenaires de distribution – revendeurs, intégrateurs et MSP – et en accompagnant les clients dans leurs projets de transformation numérique sécurisée.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité opérationnelle française; source secondaire.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-003,OpenAI,Autre — à préciser,États-Unis,,https://openai.com,,SRC-PUB-CHECKPOINT-002,https://www.checkpoint.com/press-releases/check-point-to-embed-openai-frontier-cyber-capabilities-into-check-point-security-products/ | Archive 2026-06-22_CheckPoint_openai.html,46218.416666666664,OpenAI,"Check Point® Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced the use of OpenAI’s frontier cyber capabilities into its customer-facing defenses. Through the OpenAI Daybreak Cyber Partner Program, open to only a select group of security vendors, Check Point can embed OpenAI models directly into the products, workflows, and managed services its customers rely on. It marks a meaningful shift, from using these models internally to embedding them directly inside the defenses that protect customers, carrying the safety controls, abuse-prevention standards, and scoped outputs that enterprise security demands.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire technologique explicitement nommé.,,,,,,,,,,,
