id_service,id_acteur,perspective_corpus,portee_agence_reseau,operateur_identifie,support_local,nom_service,domaine,mode_livraison,statut_maturite,recurrence,couverture_horaire,niveaux_support,chaine_escalade,multi_tenant,psa_rmm,automatisation,prix_public,unite_facturation_publique,engagement_public,segments_cibles,secteurs_cibles,geographie,technologies_citees,id_source,passage_justificatif,date_observation,niveau_confiance,statut_validation
SRV-PUB-TEKSORIA-003,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,Forfait Enterprise,Cloud / collaboration,non établi,Offre publiée,,Support 24/7 avec SLA garanti déclaré,,,non établi,non établi,Intégration IA et Copilot déclarée ; automatisation opérationnelle non détaillée,Sur mesure,devis ; unité non établie,Durée d’un an déclarée ; résiliation à tout moment avec préavis de 30 jours — articulation à valider,Grands comptes,multi-secteurs,non établie,Microsoft Copilot ; SOC managé complet non nommé,SRC-PUB-TEKSORIA-001,"Enterprise Pour les organisations exigeantes. Architecture sur-mesure, SLA garanti, IA intégrée. Sur mesure Tout Business, plus : Support 24/7 avec SLA garanti Architecte Cloud dédié SOC managé complet Intégration IA & Copilot Consulting stratégique DSI externalisée Formation continue de vos équipes Postes illimités",46220.5,"Élevée sur le catalogue affiché ; prix, SLA et mode de livraison à valider",À valider
SRV-PUB-TEKSORIA-004,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,Infogérance IT,Support / infogérance,opéré en propre,Offre publiée,,Monitoring 24/7 déclaré ; horaires helpdesk non établis hors forfaits,,,non établi,RMM et ticketing déclarés ; outils non nommés,Alertes automatiques ; seuils de monitoring ; mises à jour ; reporting mensuel,Non établi hors forfaits,Forfaits affichés par mois et par poste,SLA définis avec le client ; détails non publics,PME,multi-secteurs,Rhône-Alpes,RMM et ticketing non nommés,SRC-PUB-TEKSORIA-002,"Grâce à des outils de supervision avancés (RMM), nous surveillons en temps réel l'état de santé de vos équipements : charge processeur, espace disque, état des sauvegardes, mises à jour de sécurité et performances réseau. Les alertes automatiques nous permettent d'intervenir avant qu'une panne ne se produise.",46220.5,Élevée sur la capacité déclarée ; outils et performance non vérifiés,À valider
SRV-PUB-TEKSORIA-005,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,Sécurité et cyberdéfense,Vulnérabilités / exposition,non établi,Offre publiée,,SOC 24/7 déclaré ; autres services non établis,,,non établi,non établi,Détection assistée par IA déclarée ; mécanismes non documentés,Non établi,non établie,non établi,PME; ETI,"Industriel, médical et technologique évoqués",France,EDR/XDR ; SIEM ; NGFW ; MFA ; IA — fournisseurs non nommés,SRC-PUB-TEKSORIA-003,"Notre SOC externalisé surveille votre infrastructure 24/7 et détecte les comportements anormaux grâce à l'intelligence artificielle. En cas d'incident, notre équipe de réponse intervient immédiatement pour contenir la menace, préserver les preuves et restaurer vos systèmes dans les plus brefs délais.",46220.5,Moyenne à élevée sur l’offre déclarée ; livraison et performances non établies,À valider
SRV-PUB-TEKSORIA-006,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,SOC light — composante Business,SOC / MDR,non établi,Offre publiée,,non établie pour le SOC light,,,non établi,non établi,non établie,Inclus dans Business à 69 € HT,par mois et par poste via le forfait Business,Voir engagement du forfait Business,PME,multi-secteurs,non établie,EDR non nommé ; SOC light non défini,SRC-PUB-TEKSORIA-001,"Cybersécurité avancée (EDR, SOC light) Infrastructure Cloud Azure managée PRA — Plan de reprise d'activité Audit de sécurité trimestriel Jusqu'à 250 postes",46220.5,"Élevée sur la mention commerciale ; périmètre, opérateur et couverture non établis",À valider
SRV-PUB-TEKSORIA-007,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,SOC managé complet — composante Enterprise,SOC / MDR,non établi,Offre publiée,,24/7 déclaré sur la page cyber ; rattachement contractuel exact à Enterprise à valider,,,non établi,non établi,Détection assistée par IA déclarée ; mécanismes non documentés,Inclus dans Enterprise — sur mesure,devis ; unité non établie,Voir engagement du forfait Enterprise,Grands comptes,multi-secteurs,non établie,SOC non nommé ; IA non nommée,SRC-PUB-TEKSORIA-001,Support 24/7 avec SLA garanti Architecte Cloud dédié SOC managé complet Intégration IA & Copilot Consulting stratégique DSI externalisée Formation continue de vos équipes Postes illimités,46220.5,"Élevée sur la mention ; opérateur, périmètre et SLA non établis",À valider
SRV-PUB-TEKSORIA-008,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,Infrastructure cloud managée,Sauvegarde / PRA,piloté pour le client,Offre publiée,,Monitoring 24/7 et support L2/L3 déclarés ; détails non publics,,,non établi,non établi,"Auto-scaling, sauvegarde et PRA cités ; niveau d’automatisation non établi",Inclus dans Business ; tarif autonome non établi,non établie hors forfait Business,SLA et gouvernance contractuels déclarés ; détails non publics,PME,"Santé, secteur public et défense pour contraintes réglementaires",Rhône-Alpes,Microsoft Azure ; Amazon Web Services ; clouds souverains français non nommés,SRC-PUB-TEKSORIA-009,"Nous travaillons principalement avec Microsoft Azure et Amazon Web Services (AWS), les deux leaders du marché, mais aussi avec des clouds souverains français pour les entreprises soumises à des contraintes réglementaires spécifiques (données de santé, secteur public, défense).",46220.5,Élevée sur le pilotage déclaré ; usage client et niveau de maîtrise non vérifiés,À valider
SRV-PUB-DIGILUX-001,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,DSI à temps partagé,Conseil / pilotage,piloté pour le client,Offre publiée,Récurrente ; suivi régulier et accompagnement long terme déclarés,non établie,,,non applicable / non établi,non établi,Tableaux de bord et indicateurs de suivi déclarés ; outils non nommés,Non établi,non établie,Engagement selon les besoins identifiés ; durée contractuelle non publiée,PME,multi-secteurs,Nord Nouvelle-Aquitaine ; régional,Aucune technologie propriétaire ; outils de pilotage non nommés,SRC-PUB-DIGILUX-001,J’assure un suivi régulier et m’engage selon les besoins identifiés. Accompagnement stratégique sur le long terme ; Rapports réguliers au CODIR et gestion proactive des prestataires IT ; Mise en place d’une gouvernance adaptée aux évolutions technologiques.,46220.5,"Élevée sur la prestation déclarée ; charge, tarif et résultats non publics",À valider
SRV-PUB-DIGILUX-002,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,CyberPartage — RSSI à temps partagé,Gouvernance / conformité,piloté pour le client,Offre publiée,Récurrente ; temps dédiés selon les besoins,non établie,,,non applicable / non établi,non établi,non établie,Non établi,temps dédié ou forfait non établi,Selon les besoins identifiés ; durée non publiée,Non établi,multi-secteurs,régionale,PSSI ; aucun outil d’exploitation attribué,SRC-PUB-DIGILUX-002,"Je vous propose une prestation à temps partagé, pour les structures n’ayant pas les moyens de recruter un RSSI (Responsable de la Sécurité des Systèmes d’Information) à plein temps. Organisation et pilotage de la politique de cybersécurité ; Réalisation de diagnostics, plans d’actions et PSSI ; Mise en situation pour tester et améliorer la sécurité ; Temps dédiés en fonction des besoins identifiés.",46220.5,Élevée sur l’offre déclarée ; récurrence et charge réelles non observées,À valider
SRV-PUB-DIGILUX-003,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,Audit et diagnostic SI / cyber,Vulnérabilités / exposition,opéré en propre,Offre publiée,Ponctuelle ou périodique ; fréquence non établie,non applicable,,,non applicable,non applicable,non établie,Non établi,par mission ou forfait non établi,non établi,TPE; PME; Associations / professions libérales,multi-secteurs,régionale,"Méthodes d’audit ; EDR, IAM, pare-feu et sauvegarde cités comme catégories, pas comme outils opérés",SRC-PUB-DIGILUX-002,"Je réalise un audit complet de votre sécurité cyber : stratégie, organisation, pilotage, sensibilisation des utilisateurs et outils techniques. Évaluation complète de votre maturité en cybersécurité ; Comparaison par rapport aux meilleures pratiques actuelles du secteur ; Priorisation des actions à engager ; Recommandations détaillées pour améliorer votre posture de sécurité.",46220.5,Élevée sur la prestation de conseil ; tests techniques et éventuelle sous-traitance non détaillés,À valider
SRV-PUB-DIGILUX-004,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,Feuille de route / SDSI,Conseil / pilotage,opéré en propre,Offre publiée,Ponctuelle avec suivi possible sur plusieurs années,non applicable,,,non applicable,non applicable,Tableaux de bord déclarés ; outils non nommés,Non établi,par mission non établie,non établi,PME,multi-secteurs,régionale,SDSI ; aucun éditeur cité,SRC-PUB-DIGILUX-001,Je vous accompagne dans la formalisation d’un Schéma Directeur des Systèmes d’Information (SDSI). Collecte des besoins métiers par des interviews et enquêtes auprès de toutes les parties prenantes ; Analyse de l’infrastructure IT existante avec cartographie du SI actuel ; Priorisation des projets en fonction des risques et des bénéfices attendus ; Définition des objectifs IT à moyen et long terme ; Présentation de la roadmap aux instances dirigeantes.,46220.5,Élevée sur la méthode déclarée ; durée et tarifs non publics,À valider
SRV-PUB-DIGILUX-005,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,AMO et sélection de prestataires,Conseil / pilotage,piloté pour le client,Offre publiée,Par projet,non applicable,,,non applicable,non applicable,non établie,Non établi,par projet non établie,non établi,PME,multi-secteurs,régionale,Aucune solution imposée ; benchmarking et veille déclarés,SRC-PUB-DIGILUX-001,Rédaction des cahiers des charges et spécifications techniques ; Benchmarking et veille technologique pour sélectionner les meilleures solutions ; Mise en concurrence des prestataires et aide au choix ; Sécurisation des relations contractuelles pour garantir les meilleures conditions.,46220.5,Élevée sur la prestation déclarée ; critères et pondérations varient selon projet,À valider
SRV-PUB-DIGILUX-006,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,Gestion des prestataires et des contrats,Multi-domaine,piloté pour le client,Offre publiée,Récurrente ou par projet,non établie,,,non applicable,non établi,Reporting et indicateurs déclarés,Non établi,non établie,non établi,PME,multi-secteurs,régionale,Aucune technologie spécifique,SRC-PUB-DIGILUX-001,"Je prends en charge la direction de vos projets IT pour garantir leur succès. Mise en place des instances de gouvernance ; Pilotage des prestataires et respect des objectifs clients ; Supervision des plannings, ressources et budgets ; Suivi rigoureux pour assurer la réalisation conforme des projets.",46220.5,Élevée sur le pilotage déclaré ; niveau de service et charge non publics,À valider
SRV-PUB-DIGILUX-007,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,Accompagnement à la surveillance continue,Sauvegarde / PRA,piloté pour le client,Offre publiée,Continue pour le client ; intervention Digilux non établie,non établie,,,non établi,non établi,Systèmes de surveillance continue évoqués ; outils et automatisation non établis,Non établi,non établie,non établi,PME,multi-secteurs,non établie,Systèmes de surveillance non nommés,SRC-PUB-DIGILUX-001,J’optimise vos infrastructures numériques en réalisant des audits de performance et en implémentant des solutions adaptées et personnalisées. J’améliore l’efficacité opérationnelle en mettant en place des systèmes de surveillance continue. Je recommande des mises à jour matérielles et logicielles régulières pour maintenir un haut niveau de performance.,46220.5,Moyenne — la mise en place est déclarée mais l’opérateur technique et la couverture ne sont pas identifiés,À valider
SRV-PUB-DIGILUX-008,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,Accompagnement sauvegarde / PCA / PRA,Sauvegarde / PRA,piloté pour le client,Offre publiée,Ponctuelle ou intégrée au DSI à temps partagé ; fréquence non établie,non établie,,,non établi,non établi,Sauvegarde automatisée citée ; solution et opérateur non établis,Non établi,non établie,non établi,PME,multi-secteurs,régionale,Sauvegarde automatisée ; gestion des accès ; PCA/PRA évalués dans le quiz ; aucun fournisseur cité,SRC-PUB-DIGILUX-001,J’implémente des solutions de sauvegarde automatisées et des politiques de gestion des accès pour minimiser les risques.,46220.5,"Élevée sur l’intervention déclarée ; opérateur technique, tests PCA/PRA et couverture non établis",À valider
SRV-PUB-DIGILUX-009,ENT-PUB-DIGILUX-001,DEMANDE_MSP,,,,Accompagnement cloud et cybersécurité,Cloud / collaboration,piloté pour le client,Offre publiée,Par projet ou temps partagé,non établie,,,non établi,non établi,non établie,Non établi,non établie,non établi,TPE; PME; Associations / professions libérales,multi-secteurs,régionale,"Cloud / SaaS ; EDR ; sauvegarde ; IAM ; pare-feu ; IDS — catégories, pas fournisseurs opérés",SRC-PUB-DIGILUX-002,"Je conseille la mise en place de : solutions de cybersécurité adaptées (antimalware comportemental EDR, stratégie de sauvegarde, sécurisation des postes de travail et des infrastructures) protocoles de réponse rapide pour prévenir et gérer les attaques.",46220.5,"Élevée sur le conseil déclaré ; intégration, revente et exploitation non établies",À valider
SRV-PUB-IRONIE-001,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,Sécurité managée 360,Support / infogérance,opéré en propre,Offre publiée,Récurrente déclarée,non établie,Support logiciel et matériel déclaré ; niveaux non détaillés au niveau du portefeuille,non établie,non établi,non établi,Monitoring et alertes déclarés,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest",Portefeuille multi-éditeur ; détails dans les services composants,SRC-PUB-IRONIE-001,"Solutions de sécurité opérées par nos soins Installation, Configuration, Mises à jour, Évolutions Support logiciel et matériel, gestion des logs Accompagnement sur-mesure, dans la durée Monitoring et alerte",46224.5,Élevée sur l’offre déclarée ; livraison et performance non auditées,À valider
SRV-PUB-IRONIE-002,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,FIREWALL360,Réseau / sécurité périmétrique,opéré en propre,Offre publiée,Récurrente déclarée,non établie,Support logiciel et matériel déclaré ; niveaux non établis,non établie,non établi,non établi,Répartition automatique du trafic SD-WAN citée,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest","SD-WAN, Wi-Fi, Web Filter, antivirus, Application Control, IPS, VPN ; éditeur non nommé dans le passage",SRC-PUB-IRONIE-001,"On s’occupe de tout ! Installation, Configuration, Mises à jour, Évolutions Support logiciel et matériel, gestion des logs Supervision et alertes",46224.5,Élevée sur l’offre déclarée ; livraison et performance non auditées,À valider
SRV-PUB-IRONIE-003,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,SOC360,SOC / MDR,non établi,Offre publiée,Récurrente déclarée,Surveillance et traitement déclarés ; 24/7 non établi,MDR + SOC cités ; répartition IRONIE / éditeur non établie,Corrélation et escalade des alertes qualifiées citées ; délais et destinataires non établis,non établi,non établi,Patch management automatisé cité,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest","Bitdefender GravityZone MSP ; EPP, EDR, XDR, MDR, SOC",SRC-PUB-IRONIE-001,"GravityZone MSP Solution de protection des postes de travail et serveurs, ainsi que de votre environnement Microsoft Active Directory, Entra et Office365 (Exchange Online, SharePoint Online, OneDrive). La solution comprend les options suivantes : EPP + EDR : antivirus et télémétrie des endpoints Patch management : gestion automatisée des mises à jour XDR : télémétrie messagerie, cloud, réseau MDR + SOC : traitement des incidents, corrélation, escalade des alertes qualifiées",46224.5,Élevée sur le contenu déclaré ; mode réel du SOC et usage des options non établis,À valider
SRV-PUB-IRONIE-004,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,ASSIST360 — support N1 à N3,Support / infogérance,opéré en propre,Offre publiée,Récurrente déclarée,Support téléphonique pendant les horaires d’ouverture ; la plage 9h–18h publiée pour les bureaux reste à confirmer pour le support,N1 diagnostic et restauration ; N2 causes récurrentes ; N3 expertise spécialisée,N1 vers niveau supérieur si compétence insuffisante ; N2 vers niveau supérieur si non résolu ; escalade éditeur non documentée,non établi,non établi,Ticket ouvert au N1 ; outil de ticketing non nommé,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest","Architecture systèmes et réseaux, cybersécurité, Active Directory",SRC-PUB-IRONIE-001,"Niveau 1 : résolution d’incidents La tâche de l’intervenant consiste à établir un premier diagnostic de l’incident technique et à résoudre les incidents pour une restauration du service dans les meilleurs délais. Concrètement, le technicien ouvre un ticket résumant vos problèmes et le diagnostic de solutions à apporter selon lui. Si l’incident dépasse ses compétences, le ticket est escaladé au niveau de support supérieur. Niveau 2 : résolution de problèmes L’objectif du technicien ou de l’ingénieur qui intervient est d’identifier et de corriger les sources d’erreurs récurrentes. Dans le cas où ils ne peuvent pas résoudre la demande, cette dernière est escaladée au niveau de support supérieur. Niveau 3 : expertise poussée spécifique Le dernier niveau de support est composé d’ingénieurs, d’administrateurs et d’architectes systèmes et réseaux spécialisés dans un domaine en particulier : architecture systèmes et réseaux, cybersécurité, gestion de l’Active Directory… Il intervient uniquement lorsque son expertise est requise pour résoudre des demandes ou incidents à la complexité élevée.",46224.5,Élevée sur l’offre déclarée ; livraison et performance non auditées,À valider
SRV-PUB-IRONIE-005,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,MCO / MCS,Support / infogérance,opéré en propre,Offre publiée,Récurrente déclarée,non établie,Rattaché à ASSIST360 ; niveaux spécifiques non publiés,Pilotage de plans d’actions cité ; escalade non établie,non établi,non établi,non établie,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest","Bases de données, systèmes d’exploitation, logiciels applicatifs cités comme exemples",SRC-PUB-IRONIE-001,"Le Maintien en Conditions de Sécurité (MCS) a pour objectif de sécuriser les actifs matériels et informationnels de l’entreprise. En clair, l’objectif est de s’assurer que les actifs à maintenir ne présentent pas de failles de sécurité. Pour cela une activité de veille, d’analyse d’impact des vulnérabilités identifiés et de pilotage de plans d’actions associés est ainsi mis œuvre par les équipes en charge du MCS.",46224.5,Élevée sur l’offre déclarée ; livraison et performance non auditées,À valider
SRV-PUB-IRONIE-006,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,Technical Account Manager (TAM),Support / infogérance,opéré en propre,Offre publiée,Récurrence non établie,non établie,Expertise maximale déclarée ; niveau formel non établi,Liens privilégiés avec l’éditeur déclarés ; processus et délais non publiés,non établi,non établi,non applicable,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest","Fortinet, Palo Alto, Stormshield, PulseSecure, F5, InWebo, Wallix",SRC-PUB-IRONIE-001,"La prestation de responsable technique de compte permet d’avoir l’expertise maximale sur une technologie, avec des liens privilégiés avec l’éditeur. Nous pouvons vous proposer ceci pour : Fortinet, Palo Alto, Stormshield, PulseSecure, F5, InWebo, Wallix.",46224.5,Élevée sur l’offre déclarée ; livraison et performance non auditées,À valider
SRV-PUB-IRONIE-007,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,MONITOR360,Multi-domaine,opéré en propre,Offre publiée,Récurrente déclarée,Interrogation très régulière déclarée ; cadence et astreinte non établies,"Alertes aux techniciens IRONIE, au client ou à un tiers ; traitement non détaillé",Destinataires configurables déclarés ; niveaux et délais non établis,non établi,non établi,Plateforme de surveillance interrogeant les actifs et envoyant des alertes,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest","Sites web, serveurs mail, bases de données, sauvegardes, serveurs DNS",SRC-PUB-IRONIE-001,"Très régulièrement, notre plateforme de surveillance interroge et vérifie le bon fonctionnement de vos systèmes informatiques : votre site web, votre serveur de mail, votre base de données, vos sauvegardes, vos serveurs DNS, … En cas de dysfonctionnement, le service de Monitoring envoie des alertes par email à nos techniciens, à vous, ou à toute autre personne concernée.",46224.5,Élevée sur l’offre déclarée ; livraison et performance non auditées,À valider
