id_relation,entite_source,type_relation,entite_cible,date_debut,date_fin,organisation_concernee,id_source_exacte,reference_exacte,passage_justificatif,nature_information,niveau_confiance,niveau_confidentialite,droits_reutilisation,statut_validation,statut_doublon,statut_contradiction,date_extraction,notes,id_entite_source,id_entite_cible,statut_relation,date_derniere_preuve,service_concerne,technologie_concernee,exclusivite_declaree,perspective_corpus
REL-PUB-NOMIOS-006,Intragen,Partenaire ↔ partenaire,Okta,,,Intragen,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Relation technologique explicitement citée.,,,,,,,,
REL-PUB-NOMIOS-007,Nomios SAS,Partenaire ↔ partenaire,Palo Alto Networks,,,Nomios SAS,SRC-PUB-NOMIOS-002,https://www.nomios.fr/actualite/nomios-canut-soc/ | Archive 2026-01-05_Nomios_canut-soc.html,"L’offre s’appuie sur les technologies de Palo Alto Networks, partenaire technologique historique de Nomios, et notamment sur la suite Cortex (XDR, XSIAM et SOAR), permettant une corrélation avancée des événements de sécurité, une détection des menaces connues et inconnues, ainsi qu’une orchestration automatisée de la réponse aux incidents.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Partenaire technologique historique selon Nomios.,,,,,,,,
REL-PUB-NOMIOS-008,Nomios SAS,Partenaire ↔ partenaire,Fortinet,,,Nomios SAS,SRC-PUB-NOMIOS-006,https://www.nomios.fr/actualite/nomios-rapid-cloud-assessment/ | Archive 2025-09-18_Nomios_rapid-cloud-assessment.html,"En partenariat avec Fortinet, nous proposons le Rapid Cloud Assessment, une évaluation rapide et complète de votre posture de sécurité dans le cloud, qui vous permet d’obtenir une vision claire et priorisée de vos risques en seulement quelques jours.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Offre proposée en partenariat.,,,,,,,,
REL-PUB-NOMIOS-009,Nomios SAS,Partenaire ↔ partenaire,Juniper Networks,,,Nomios SAS,SRC-PUB-NOMIOS-008,https://www.nomios.fr/actualite/hpe-juniper-acquisition-complete/ | Archive 2025-07-02_Nomios_hpe-juniper.html,"Juniper Networks est un partenaire de confiance de Nomios depuis nos débuts en 2004. Au fil des années, notre collaboration a permis de stimuler l’innovation et de fournir des solutions réseau robustes à travers l’Europe (via Infradata). Avec l’acquisition de Juniper Networks par HPE désormais officiellement approuvée, nous sommes impatients de voir ce que cela signifie pour l’avenir. Nomios est un partenaire historique de Juniper, et nous avons récemment renouvelé notre partenariat stratégique avec HPE. Ensemble, nous sommes convaincus que cela ouvrira de nouvelles opportunités pour des réseaux intelligents, sécurisés et pilotés par l’IA.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Partenariat déclaré depuis 2004.,,,,,,,,
REL-PUB-NOMIOS-010,Nomios SAS,Partenaire ↔ partenaire,Hewlett Packard Enterprise,,,Nomios SAS,SRC-PUB-NOMIOS-008,https://www.nomios.fr/actualite/hpe-juniper-acquisition-complete/ | Archive 2025-07-02_Nomios_hpe-juniper.html,"Juniper Networks est un partenaire de confiance de Nomios depuis nos débuts en 2004. Au fil des années, notre collaboration a permis de stimuler l’innovation et de fournir des solutions réseau robustes à travers l’Europe (via Infradata). Avec l’acquisition de Juniper Networks par HPE désormais officiellement approuvée, nous sommes impatients de voir ce que cela signifie pour l’avenir. Nomios est un partenaire historique de Juniper, et nous avons récemment renouvelé notre partenariat stratégique avec HPE. Ensemble, nous sommes convaincus que cela ouvrira de nouvelles opportunités pour des réseaux intelligents, sécurisés et pilotés par l’IA.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Renouvellement récent déclaré sans date précise.,,,,,,,,
REL-PUB-NOMIOS-011,Nomios SAS,Distributeur → éditeur,Qevlar AI,,,Nomios SAS,SRC-PUB-NOMIOS-011,https://www.channelnews.fr/nomios-croissance-de-20-en-2025-tiree-par-les-services-recurrents-156340 | Archive 2026-04-19_ChannelNews_nomios-croissance-2025.html,"En janvier 2025, le groupe annonçait l’intégration de la plateforme de Qevlar AI dans ses sept centres opérationnels de sécurité managée – ainsi qu’un accord de distribution européen autour de cette solution – afin d’accélérer le travail des analystes sur les tâches les plus critiques.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Accord de distribution européen rapporté par ChannelNews; à corroborer.,,,,,,,,
REL-PUB-WATCHGUARD-001,"WatchGuard Technologies, Inc.",Acquéreur → cible,Perimeters.io,,,"WatchGuard Technologies, Inc.",SRC-PUB-WATCHGUARD-006,https://www.watchguard.com/wgrd-news/press-releases/watchguard-technologies-acquiert-perimetersio-pour-renforcer-la-securite | Archive 2026-05-06_WatchGuard_perimeters-cloud-dr.html,"WatchGuard® Technologies, leader mondial de la cybersécurité unifiée pour les MSP annonce l’acquisition de Perimeters.io (Perimeters), un fournisseur de premier plan en sécurité des applications cloud. Les termes de l’accord n’ont pas été divulgués.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.333333333336,Acquisition annoncée comme réalisée; termes non divulgués.,,,,,,,,
REL-PUB-WATCHGUARD-002,"WatchGuard Technologies, Inc.",Acquéreur → cible,ActZero,,,"WatchGuard Technologies, Inc.",SRC-PUB-WATCHGUARD-009,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-launches-total-mdr-deliver-full-stack-ai-driven-security-msps | Archive 2025-06-24_WatchGuard_total-mdr.html,"Total MDR is a key milestone following WatchGuard’s acquisition of ActZero in January of this year. ActZero’s 24/7 MDR service and experts power the WatchGuard MDR product line, which includes AI-driven security and flexible support tailored to MSPs.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.333333333336,Acquisition explicitement mentionnée en janvier 2025.,,,,,,,,
REL-PUB-WATCHGUARD-003,Vector Capital,Investisseur → cible,"WatchGuard Technologies, Inc.",,,Vector Capital,SRC-PUB-WATCHGUARD-012,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-nomme-joe-smolarski-au-poste-de-chief-executive-officer-pour | Archive 2025-11-05_WatchGuard_joe-smolarski.html,"PARIS – 5 novembre 2025 – WatchGuard® Technologies, leader mondial de la cybersécurité unifiée et société du portefeuille de Vector Capital (“Vector”), annonce aujourd’hui la nomination de Joe Smolarski au poste de Chief Executive Officer (CEO). Vats Srivatsan, qui occupait la fonction de CEO par intérim depuis mai 2025, continuera de siéger au conseil d’administration de WatchGuard, où il contribuera à la stratégie et à la croissance de l’entreprise.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.333333333336,WatchGuard est qualifiée de société du portefeuille Vector Capital.,,,,,,,,
REL-PUB-WATCHGUARD-004,"WatchGuard Technologies, Inc.",Partenaire ↔ partenaire,Halo,,,"WatchGuard Technologies, Inc.",SRC-PUB-WATCHGUARD-004,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-et-halo-annoncent-un-partenariat-pour-permettre-aux-msp-de | Archive 2026-04-14_WatchGuard_halo.html,"WatchGuard® Technologies, leader mondial de la cybersécurité unifiée pour les fournisseurs de services managés (MSP), annonce un partenariat stratégique avec Halo afin d’aider les MSP à fournir et à gérer des services de sécurité avec une charge opérationnelle réduite et des temps de réponse plus rapides. Dans le cadre de cette collaboration, WatchGuard Cloud s’intègre à Halo afin d’y intégrer directement des opérations de sécurité unifiées.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.333333333336,Partenariat stratégique explicitement annoncé.,,,,,,,,
REL-PUB-WATCHGUARD-005,Ember One,Partenaire ↔ partenaire,"WatchGuard Technologies, Inc.",,,Ember One,SRC-PUB-WATCHGUARD-010,https://www.watchguard.com/fr/wgrd-news/press-releases/watchguard-firecloud-total-access-le-premier-service-sase-hybride-adapte | Archive 2025-09-25_WatchGuard_firecloud-total-access.html,"« Les entreprises veulent moins d’outils, moins de complexité et de meilleurs résultats », explique Alex Dumas, Principal Engineer chez Ember One, partenaire WatchGuard. « Avec FireCloud Total Access, nous standardisons la protection web et l’accès aux applications privées, démontrons la valeur depuis un portail unique et faisons évoluer nos services récurrents sans alourdir la gestion. »",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.333333333336,Ember One est explicitement qualifié de partenaire WatchGuard.,,,,,,,,
REL-PUB-CHECKPOINT-001,Check Point Software Technologies Ltd.,Acquéreur → cible,Lakera,45916,,Check Point Software Technologies Ltd.,SRC-PUB-CHECKPOINT-006,https://www.checkpoint.com/press-releases/check-point-acquires-lakera-to-deliver-end-to-end-ai-security-for-enterprises/ | Archive 2025-09-16_CheckPoint_lakera-acquisition.html,"Check Point® Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced it has entered into an agreement to acquire Lakera, one of the world’s leading AI-native security platforms for Agentic AI applications. With this acquisition, Check Point sets a new standard in cyber security, becoming able to deliver a full end-to-end AI security stack designed to protect enterprises as they accelerate their AI journey.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Accord d’acquisition annoncé; clôture non établie par cette source.,,,,,,,,
REL-PUB-CHECKPOINT-002,Check Point Software Technologies Ltd.,Partenaire ↔ partenaire,Wiz,45929,,Check Point Software Technologies Ltd.,SRC-PUB-CHECKPOINT-007,https://www.checkpoint.com/press-releases/check-point-enters-next-level-of-strategic-partnership-with-wiz-to-deliver-integrated-cnapp-and-cloud-network-security-solution/ | Archive 2025-09-29_CheckPoint_wiz-integration.html,"Check Point Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced the next milestone in its strategic partnership with Wiz: the global rollout of a fully integrated solution uniting Check Point’s prevention-first cloud network security with Wiz’s Cloud-Native Application Protection Platform (CNAPP). Building on the partnership first announced in February 2025, this phase brings the integration to general availability, helping enterprises confront modern cloud security challenges with visibility, precision, and AI-powered prevention.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Partenariat stratégique et disponibilité générale explicitement annoncés.,,,,,,,,
REL-PUB-CHECKPOINT-003,Check Point Software Technologies Ltd.,Partenaire ↔ partenaire,Microsoft,45979,,Check Point Software Technologies Ltd.,SRC-PUB-CHECKPOINT-008,https://www.checkpoint.com/press-releases/check-point-software-collaborates-with-microsoft-to-deliver-enterprise-grade-ai-security-for-microsoft-copilot-studio/ | Archive 2025-11-18_CheckPoint_microsoft-copilot.html,"Check Point® Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced it is collaborating with Microsoft to deliver enterprise-grade AI security for Microsoft Copilot Studio. The collaboration enables enterprises to safely build and deploy generative-AI agents with continuous protection, compliance, and governance integrated directly into their development workflows. The integration with Copilot Studio brings together Check Point’s AI Guardrails, Data Loss Prevention (DLP), and Threat Prevention technologies, extending its end-to-end AI security stack to safeguard Copilot Studio during agent runtime.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Collaboration explicitement annoncée.,,,,,,,,
REL-PUB-CHECKPOINT-004,Check Point Software Technologies Ltd.,Partenaire ↔ partenaire,OpenAI,46195,,Check Point Software Technologies Ltd.,SRC-PUB-CHECKPOINT-002,https://www.checkpoint.com/press-releases/check-point-to-embed-openai-frontier-cyber-capabilities-into-check-point-security-products/ | Archive 2026-06-22_CheckPoint_openai.html,"Check Point® Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced the use of OpenAI’s frontier cyber capabilities into its customer-facing defenses. Through the OpenAI Daybreak Cyber Partner Program, open to only a select group of security vendors, Check Point can embed OpenAI models directly into the products, workflows, and managed services its customers rely on. It marks a meaningful shift, from using these models internally to embedding them directly inside the defenses that protect customers, carrying the safety controls, abuse-prevention standards, and scoped outputs that enterprise security demands.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Partenariat via le programme Daybreak explicitement annoncé.,,,,,,,,
REL-PUB-CHECKPOINT-005,Check Point Software Technologies Ltd.,Partenaire ↔ partenaire,Amazon Web Services,46204,,Check Point Software Technologies Ltd.,SRC-PUB-CHECKPOINT-003,https://www.checkpoint.com/press-releases/check-point-softwares-cloud-firewall-offering-now-available-on-aws-european-sovereign-cloud/ | Archive 2026-07-01_CheckPoint_aws-sovereign-cloud.html,"Check Point Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader in cyber security solutions, today announced it is a partner for the AWS European Sovereign Cloud, a new independent cloud for Europe. Check Point’s Cloud Firewall offering is now available on the AWS European Sovereign Cloud, further supporting customers in Europe.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Check Point est explicitement qualifié de partenaire de l’AWS European Sovereign Cloud.,,,,,,,,
REL-PUB-CHECKPOINT-006,Arrow,Distributeur → éditeur,Check Point France,,,Arrow,SRC-PUB-CHECKPOINT-009,https://www.channelbiz.fr/2026/04/20/check-point-france-recentre-sa-strategie-channel/ | Archive 2026-04-20_ChannelBiz_checkpoint-channel-france.html,"L’équipe channel s’appuie par ailleurs sur 5 commerciaux dédiés ( 4 gestionnaires de partenaires et 1 responsable distribution ) et sur trois distributeurs officiels : Arrow, Infinigate et Westcon.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Relation de distribution France à confirmer auprès des parties.,,,,,,,,
REL-PUB-CHECKPOINT-007,Infinigate,Distributeur → éditeur,Check Point France,,,Infinigate,SRC-PUB-CHECKPOINT-009,https://www.channelbiz.fr/2026/04/20/check-point-france-recentre-sa-strategie-channel/ | Archive 2026-04-20_ChannelBiz_checkpoint-channel-france.html,"L’équipe channel s’appuie par ailleurs sur 5 commerciaux dédiés ( 4 gestionnaires de partenaires et 1 responsable distribution ) et sur trois distributeurs officiels : Arrow, Infinigate et Westcon.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Relation de distribution France à confirmer auprès des parties.,,,,,,,,
REL-PUB-CHECKPOINT-008,Westcon,Distributeur → éditeur,Check Point France,,,Westcon,SRC-PUB-CHECKPOINT-009,https://www.channelbiz.fr/2026/04/20/check-point-france-recentre-sa-strategie-channel/ | Archive 2026-04-20_ChannelBiz_checkpoint-channel-france.html,"L’équipe channel s’appuie par ailleurs sur 5 commerciaux dédiés ( 4 gestionnaires de partenaires et 1 responsable distribution ) et sur trois distributeurs officiels : Arrow, Infinigate et Westcon.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.416666666664,Relation de distribution France à confirmer auprès des parties.,,,,,,,,
REL-PUB-LEVIIA-001,Leviia SAS,Prestataire dédié → commanditaire,Région Île-de-France,45999,,Leviia SAS,SRC-PUB-LEVIIA-008,https://nextcloud.com/blog/ile-de-france-sovereign-cloud-collaboration-platform/ | Archive 2025-12-08_Nextcloud_leviia-region-idf.html,"In an ambitious digital transformation project, Île-de-France, the region around Paris, chose Nextcloud partner Leviia to implement Nextcloud as sovereign collaborative suite within the regional platform monlycée.net. The sovereign collaboration platform was designed to replace solutions from Microsoft. This initiative connects over 550,000 students, teachers, and administrative staff across hundreds of high schools. In essence, they benefit from a secure, privacy-respecting environment for learning, collaboration and file exchange. The project also puts into the spotlight the region’s commitment to digital sovereignty, GDPR compliance, and independence from non-European cloud providers.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46219.416666666664,Choix explicite de Leviia par la Région.,,,,,,,,
REL-PUB-LEVIIA-002,Leviia SAS,Partenaire ↔ partenaire,Nextcloud GmbH,45999,,Leviia SAS,SRC-PUB-LEVIIA-008,https://nextcloud.com/blog/ile-de-france-sovereign-cloud-collaboration-platform/ | Archive 2025-12-08_Nextcloud_leviia-region-idf.html,"In an ambitious digital transformation project, Île-de-France, the region around Paris, chose Nextcloud partner Leviia to implement Nextcloud as sovereign collaborative suite within the regional platform monlycée.net. The sovereign collaboration platform was designed to replace solutions from Microsoft. This initiative connects over 550,000 students, teachers, and administrative staff across hundreds of high schools. In essence, they benefit from a secure, privacy-respecting environment for learning, collaboration and file exchange. The project also puts into the spotlight the region’s commitment to digital sovereignty, GDPR compliance, and independence from non-European cloud providers.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46219.416666666664,Leviia est explicitement qualifié de partenaire Nextcloud.,,,,,,,,
REL-PUB-LEVIIA-003,Worldline PSN,Prestataire dédié → commanditaire,Région Île-de-France,,,Leviia SAS,SRC-PUB-LEVIIA-005,https://www.leviia.com/cas-pratique/region-ile-de-france/ | Archive 2026-07-16_Leviia_cas-region-idf-page-non-date.html,"En collaboration avec Worldline, opérateur de l’ENT régional, ce projet hors norme devait répondre à trois enjeux majeurs : Assurer une adoption à grande échelle : plus de 500 000 utilisateurs aux profils variés (élèves, enseignants, personnels administratifs), avec des attentes et des niveaux de compétences hétérogènes. Garantir une intégration fluide avec les outils existants : monlycee.net, le SSO régional et les services numériques déjà en place. Offrir un haut niveau de personnalisation : afin de répondre aux besoins spécifiques de la communauté éducative et de renforcer la sensibilisation aux enjeux de souveraineté numérique.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46219.416666666664,Worldline est qualifié d’opérateur de l’ENT régional; page non datée.,,,,,,,,
REL-PUB-LEVIIA-004,Tiger Technology AD,Partenaire ↔ partenaire,Leviia SAS,45930,,Leviia SAS,SRC-PUB-LEVIIA-007,https://www.tiger-technology.com/tiger-technology-leviia-partnership/ | Archive 2025-09-30_TigerTechnology_leviia-partnership.html,"Tiger Technology and Leviia are pleased to announce the beginning of a technology partnership aimed at delivering secure, compliant, and scalable hybrid cloud storage solutions for organizations across Europe. By combining Tiger Technology’s intelligent data management software with Leviia’s sovereign European cloud infrastructure, the two companies empower customers to manage, protect, and archive their data seamlessly—while maintaining full control and regulatory compliance.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46219.416666666664,Partenariat technologique explicitement annoncé.,,,,,,,,
REL-PUB-LEVIIA-005,Leviia SAS,Partenaire ↔ partenaire,Free Pro,45413,,Leviia SAS,SRC-PUB-LEVIIA-006,https://via.tt.se/pressmeddelande/4057851/former-wasabi-emea-vp-richard-czech-joins-leviia-to-lead-european-channel-expansion?lang=en&publisherId=259167 | Archive 2025-09-18_BusinessWire_leviia-expansion-europe.html,"In 2022, Leviia secured backing from Xavier Niel’s personal holding company. The following year, it achieved ISO 27001 and HDS certifications and introduced Leviia Storag3, its S3-compatible storage service for enterprise and public-sector backups. In February 2024, Leviia rolled out its partner program for resellers and integrators, and by May 2024, it had expanded infrastructure through a partnership with Free Pro.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46219.416666666664,Partenariat d’infrastructure annoncé dans l’historique du communiqué.,,,,,,,,
REL-PUB-LEVIIA-006,Xavier Niel,Investisseur → cible,Leviia SAS,44562,,Leviia SAS,SRC-PUB-LEVIIA-006,https://via.tt.se/pressmeddelande/4057851/former-wasabi-emea-vp-richard-czech-joins-leviia-to-lead-european-channel-expansion?lang=en&publisherId=259167 | Archive 2025-09-18_BusinessWire_leviia-expansion-europe.html,"In 2022, Leviia secured backing from Xavier Niel’s personal holding company. The following year, it achieved ISO 27001 and HDS certifications and introduced Leviia Storag3, its S3-compatible storage service for enterprise and public-sector backups. In February 2024, Leviia rolled out its partner program for resellers and integrators, and by May 2024, it had expanded infrastructure through a partnership with Free Pro.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46219.416666666664,Soutien via la holding personnelle; montant non repris dans ce signal relationnel.,,,,,,,,
